合约名称,时间,最新成交价,开仓价格,平仓价格
SPY250613P00599000,2025-06-13 09:34:11,0.56,,
SPY250613P00600000,2025-06-13 09:34:11,0.71,,
SPY250613P00601000,2025-06-13 09:34:11,0.91,,
SPY250613P00599000,2025-06-13 09:34:12,0.56,,
SPY250613P00600000,2025-06-13 09:34:12,0.71,,
SPY250613P00601000,2025-06-13 09:34:12,0.91,,
SPY250613P00599000,2025-06-13 09:34:15,0.56,,
SPY250613P00600000,2025-06-13 09:34:15,0.71,,
SPY250613P00601000,2025-06-13 09:34:15,0.91,,
SPY250613P00599000,2025-06-13 09:34:16,0.56,,
SPY250613P00600000,2025-06-13 09:34:16,0.71,,
SPY250613P00601000,2025-06-13 09:34:16,0.91,,
SPY250613P00599000,2025-06-13 09:34:19,0.56,,
SPY250613P00600000,2025-06-13 09:34:19,0.71,,
SPY250613P00601000,2025-06-13 09:34:19,0.91,,
SPY250613P00599000,2025-06-13 09:34:20,0.56,,
SPY250613P00600000,2025-06-13 09:34:20,0.71,,
SPY250613P00601000,2025-06-13 09:34:20,0.91,,
SPY250613P00599000,2025-06-13 09:34:23,0.56,,
SPY250613P00600000,2025-06-13 09:34:23,0.71,,
SPY250613P00601000,2025-06-13 09:34:23,0.91,,
SPY250613P00599000,2025-06-13 09:34:25,0.56,,
SPY250613P00600000,2025-06-13 09:34:25,0.71,,
SPY250613P00601000,2025-06-13 09:34:25,0.91,,
SPY250613P00599000,2025-06-13 09:34:27,0.56,,
SPY250613P00600000,2025-06-13 09:34:27,0.71,,
SPY250613P00601000,2025-06-13 09:34:27,0.91,,
SPY250613P00600000,2025-06-13 09:34:29,0.71,,
SPY250613P00601000,2025-06-13 09:34:29,0.91,,
SPY250613P00599000,2025-06-13 09:34:32,0.56,,
SPY250613P00600000,2025-06-13 09:34:32,0.71,,
SPY250613P00601000,2025-06-13 09:34:32,0.91,,
SPY250613P00599000,2025-06-13 09:34:35,0.56,,
SPY250613P00600000,2025-06-13 09:34:35,0.71,,
SPY250613P00601000,2025-06-13 09:34:35,0.91,,
SPY250613P00599000,2025-06-13 09:34:38,0.56,,
SPY250613P00600000,2025-06-13 09:34:38,0.71,,
SPY250613P00601000,2025-06-13 09:34:38,0.91,,
SPY250613P00599000,2025-06-13 09:34:40,0.56,,
SPY250613P00600000,2025-06-13 09:34:40,0.71,,
SPY250613P00601000,2025-06-13 09:34:40,0.91,,
SPY250613P00599000,2025-06-13 09:34:44,0.56,,
SPY250613P00600000,2025-06-13 09:34:44,0.71,,
SPY250613P00601000,2025-06-13 09:34:44,0.91,,
SPY250613P00599000,2025-06-13 09:34:45,0.56,,
SPY250613P00600000,2025-06-13 09:34:45,0.71,,
SPY250613P00601000,2025-06-13 09:34:45,0.91,,
SPY250613P00599000,2025-06-13 09:34:48,0.56,,
SPY250613P00600000,2025-06-13 09:34:48,0.71,,
SPY250613P00601000,2025-06-13 09:34:48,0.91,,
SPY250613P00599000,2025-06-13 09:34:50,0.56,,
SPY250613P00600000,2025-06-13 09:34:50,0.71,,
SPY250613P00601000,2025-06-13 09:34:50,0.91,,
SPY250613P00599000,2025-06-13 09:34:52,0.56,,
SPY250613P00600000,2025-06-13 09:34:52,0.71,,
SPY250613P00601000,2025-06-13 09:34:52,0.91,,
SPY250613P00599000,2025-06-13 09:34:54,0.56,,
SPY250613P00600000,2025-06-13 09:34:54,0.71,,
SPY250613P00601000,2025-06-13 09:34:54,0.91,,
SPY250613P00599000,2025-06-13 09:34:57,0.56,,
SPY250613P00600000,2025-06-13 09:34:57,0.71,,
SPY250613P00601000,2025-06-13 09:34:57,0.91,,
SPY250613P00599000,2025-06-13 09:34:59,0.56,,
SPY250613P00600000,2025-06-13 09:34:59,0.71,,
SPY250613P00601000,2025-06-13 09:34:59,0.91,,
SPY250613P00599000,2025-06-13 09:35:02,0.56,,
SPY250613P00600000,2025-06-13 09:35:02,0.71,,
SPY250613P00601000,2025-06-13 09:35:02,0.91,,
SPY250613P00599000,2025-06-13 09:35:03,0.56,,
SPY250613P00600000,2025-06-13 09:35:03,0.71,,
SPY250613P00601000,2025-06-13 09:35:03,0.91,,
SPY250613P00599000,2025-06-13 09:35:06,0.56,,
SPY250613P00600000,2025-06-13 09:35:06,0.71,,
SPY250613P00601000,2025-06-13 09:35:06,0.91,,
SPY250613P00599000,2025-06-13 09:35:08,0.56,,
SPY250613P00600000,2025-06-13 09:35:08,0.71,,
SPY250613P00601000,2025-06-13 09:35:08,0.91,,
SPY250613P00599000,2025-06-13 09:35:11,0.56,,
SPY250613P00600000,2025-06-13 09:35:11,0.71,,
SPY250613P00601000,2025-06-13 09:35:11,0.91,,
SPY250613P00599000,2025-06-13 09:35:12,0.56,,
SPY250613P00600000,2025-06-13 09:35:12,0.71,,
SPY250613P00601000,2025-06-13 09:35:12,0.91,,
SPY250613P00599000,2025-06-13 09:35:15,0.56,,
SPY250613P00600000,2025-06-13 09:35:15,0.71,,
SPY250613P00601000,2025-06-13 09:35:15,0.91,,
SPY250613P00599000,2025-06-13 09:35:17,0.56,,
SPY250613P00600000,2025-06-13 09:35:17,0.71,,
SPY250613P00601000,2025-06-13 09:35:17,0.91,,
SPY250613P00599000,2025-06-13 09:35:20,0.56,,
SPY250613P00600000,2025-06-13 09:35:20,0.71,,
SPY250613P00601000,2025-06-13 09:35:20,0.91,,
SPY250613P00599000,2025-06-13 09:35:22,0.56,,
SPY250613P00600000,2025-06-13 09:35:22,0.71,,
SPY250613P00601000,2025-06-13 09:35:22,0.91,,
SPY250613P00599000,2025-06-13 09:35:25,0.56,,
SPY250613P00600000,2025-06-13 09:35:25,0.71,,
SPY250613P00601000,2025-06-13 09:35:25,0.91,,
SPY250613P00599000,2025-06-13 09:35:26,0.56,,
SPY250613P00600000,2025-06-13 09:35:26,0.71,,
SPY250613P00601000,2025-06-13 09:35:26,0.91,,
SPY250613P00599000,2025-06-13 09:35:29,0.56,,
SPY250613P00600000,2025-06-13 09:35:29,0.71,,
SPY250613P00601000,2025-06-13 09:35:29,0.91,,
